證券代碼,年月日,報酬率％,收盤價(元),市場報酬,月內標準差,央行定存利率
0050 元大台灣50,2012/1/31,0.2896,51.95,1.4805,0.9541,1.875
0050 元大台灣50,2012/2/29,2.2831,56,2.0366,0.9259,1.875
0050 元大台灣50,2012/3/30,0.3656,54.9,0.7664,0.8758,1.875
0050 元大台灣50,2012/4/30,-0.2874,52.05,0.2837,0.6926,1.875
0050 元大台灣50,2012/5/31,0.0998,50.15,0.5467,0.8919,1.875
0050 元大台灣50,2012/6/29,1.3527,50.2,1.7668,0.954,1.875
0050 元大台灣50,2012/7/31,1.6915,51.1,1.559,1.0373,1.875
0050 元大台灣50,2012/8/31,0.3806,52.75,0.3476,1.0568,1.875
0050 元大台灣50,2012/9/28,0.0907,55.15,0.4081,1.0935,1.875
0050 元大台灣50,2012/10/31,-0.0991,50.4,-0.2303,0.8406,1.875
0050 元大台灣50,2012/11/30,0.8475,53.55,1.0211,0.9595,1.875
0050 元大台灣50,2012/12/28,0.6548,53.8,0.668,1.0689,1.875
0050 元大台灣50,2013/1/31,0,54.6,0.2175,0.9173,1.875
0050 元大台灣50,2013/2/27,0.1815,55.2,0.2167,0.9782,1.875
0050 元大台灣50,2013/3/29,1.0082,55.1,0.6576,0.911,1.875
0050 元大台灣50,2013/4/30,1.0753,56.4,0.796,1.0118,1.875
0050 元大台灣50,2013/5/31,0,56.95,0.1396,1.0396,1.875
0050 元大台灣50,2013/6/28,1.3799,55.1,2.2617,0.9118,1.875
0050 元大台灣50,2013/7/31,-0.6146,56.6,-0.6812,1.1365,1.875
0050 元大台灣50,2013/8/30,0.6306,55.85,1.3164,0.951,1.875
0050 元大台灣50,2013/9/30,-0.4355,57.15,-0.6902,0.7934,1.875
0050 元大台灣50,2013/10/31,0,57.9,-0.1772,1.0438,1.875
0050 元大台灣50,2013/11/29,0.3487,57.55,0.5309,0.9916,1.875
0050 元大台灣50,2013/12/31,-0.1701,58.7,-0.1382,0.9203,1.875
0050 元大台灣50,2014/1/27,-1.7903,57.6,-1.5787,1.0504,1.875
